IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2000,false,,,,,,,,,,,,,110,,,51,,191,110 [51 – 191],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,TKM,Turkmenistan,Year,2000,false,,,,,,,,,,,,,112,,,53,,192,112 [53 – 192],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,UKR,Ukraine,Year,2000,false,,,,,,,,,,,,,114,,,58,,190,114 [58 – 190],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2000,false,,,,,,,,,,,,,115,,,96,,137,115 [96 – 137],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2000,false,,,,,,,,,,,,,116,,,93,,142,116 [93 – 142],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2000,false,,,,,,,,,,,,,119,,,45,,230,119 [45 – 230],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,FIN,Finland,Year,2000,false,,,,,,,,,,,,,12,,,10,,13,12 [10 – 13],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,IRL,Ireland,Year,2000,false,,,,,,,,,,,,,12,,,10,,14,12 [10 – 14],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2000,false,,,,,,,,,,,,,12,,,11,,13,12 [11 – 13],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,CUB,Cuba,Year,2000,false,,,,,,,,,,,,,12,,,9,,16,12 [9 – 16],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,LUX,Luxembourg,Year,2000,false,,,,,,,,,,,,,12,,,9.9,,13,12 [9.9 – 13],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,HND,Honduras,Year,2000,false,,,,,,,,,,,,,122,,,33,,267,122 [33 – 267],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,FRA,France,Year,2000,false,,,,,,,,,,,,,13,,,11,,14,13 [11 – 14],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,DNK,Denmark,Year,2000,false,,,,,,,,,,,,,13,,,11,,15,13 [11 – 15],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,DEU,Germany,Year,2000,false,,,,,,,,,,,,,13,,,11,,15,13 [11 – 15],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,BEL,Belgium,Year,2000,false,,,,,,,,,,,,,14,,,12,,17,14 [12 – 17],,,EN,2021-10-11T11:00:00.000Z
